FID,Lon,Lat,Sel
1848,109.6035199,33.04307519,TRUE
1851,110.9509699,33.04307519,TRUE
1860,114.9933199,33.04307519,TRUE
1863,116.3407699,33.04307519,TRUE
1866,117.6882199,33.04307519,TRUE
1869,119.0356699,33.04307519,TRUE
1872,120.3831199,33.04307519,TRUE
1949,112.2984199,33.49222519,TRUE
2047,113.6458699,33.94137519,TRUE
2121,104.2137199,34.39052519,TRUE
2124,105.5611699,34.39052519,TRUE
2127,106.9086199,34.39052519,TRUE
2130,108.2560699,34.39052519,TRUE
2133,109.6035199,34.39052519,TRUE
2136,110.9509699,34.39052519,TRUE
2154,119.0356699,34.39052519,TRUE
2234,112.2984199,34.83967519,TRUE
2332,113.6458699,35.28882519,TRUE
2406,102.8662699,35.73797519,TRUE
2409,104.2137199,35.73797519,TRUE
2412,105.5611699,35.73797519,TRUE
2415,106.9086199,35.73797519,TRUE
2424,110.9509699,35.73797519,TRUE
