Type,FID,beta.sor,beta.sim,beta.sne,LSP,MAT,MAP,TA,PA,TSN,PSN,PCP,CWE,LSD,GMD,NVT,PDC,PSA
Tropical rain forest,94,0.311827957,0.074581431,0.237246526,111,22.88839402,1776,2.221727331,190.5,535.9388705,71.57172586,0.268161131,0.004442942,0.849599085,0,8,0.0229125,0.351815044
Tropical rain forest,95,0.263157895,0.077702703,0.185455192,111,22.6941146,1887,2.194114625,95.25,508.9910363,73.6574866,0.29880414,0.00433387,0.857979404,0,7,0.029071429,0.460569415
Tropical rain forest,96,0.155080214,0.04048583,0.114594384,108,22.2984115,2029.666667,2.465078155,27,507.8264065,74.52398459,0.327851167,0.004117298,0.870363357,0,7,0.028683333,0.50554408
Tropical rain forest,97,0.12962963,0.035897436,0.093732194,107,22.85106805,2174,2.85106802,55,504.9169513,75.36885601,0.328511243,0.003999946,0.86437841,0,7,0.02638,0.552780524
Tropical rain forest,106,0.251162791,0.120218579,0.130944211,107,19.52303644,1500.875,4.52303648,42.875,366.3678637,85.02156114,0.247872708,0.008360672,0.847888361,0,9,0.05272,0.727822174
Tropical rain forest,107,0.348908075,0.11707989,0.231828185,122,18.70654866,1537.333333,4.484326469,33.66666667,368.5690319,85.06871688,0.235571543,0.008612481,0.842768356,0,11,0.0553875,0.724751364
Tropical rain forest,108,0.320846906,0.139318885,0.18152802,128,20.30510244,1577.333333,4.305102468,130.5,354.4470945,82.86258702,0.240124466,0.008985976,0.846274087,0,11,0.056511111,0.711240486
Tropical rain forest,109,0.252892562,0.189964158,0.062928404,131,20.12844096,1548,4.350663159,80.33333333,353.1631284,79.76831526,0.251270087,0.009165279,0.846683567,0,11,0.050333333,0.734095762
Tropical rain forest,110,0.176640231,0.129573171,0.04706706,130,19.46418922,1484.5,4.630855878,133.1666667,359.6201736,77.15005522,0.25938285,0.009274563,0.853933159,0,11,0.045583333,0.741326968
Tropical rain forest,115,0.191369606,0.141434263,0.049935343,131,22.16189975,1348.75,3.161899745,107,531.9299797,75.82016578,0.26014697,0.006922478,0.86629426,0,8,0.0303,0.681023647
Tropical rain forest,116,0.281580156,0.211693548,0.069886608,137,22.19654402,1583.111111,3.196544011,135.8888889,555.7646885,78.61437901,0.259016809,0.007420768,0.862842311,0,9,0.0326625,0.6603341
Tropical rain forest,117,0.288202692,0.215532286,0.072670406,135,21.75283566,1755,2.863946756,138,575.6782674,79.71518688,0.258155423,0.007973448,0.864415255,0,10,0.030922222,0.645242098
Tropical rain forest,118,0.283049473,0.179962894,0.103086579,134,21.67484726,1716.833333,2.508180598,76.83333333,603.1295206,77.11067566,0.246778966,0.007663443,0.860187161,0,10,0.028111111,0.610119227
Tropical rain forest,119,0.291914894,0.165496489,0.126418404,130,21.74739465,1648.222222,2.191839086,49,613.9118102,74.33702423,0.236386219,0.007030466,0.854754268,0,9,0.024288889,0.579681196
Tropical rain forest,120,0.281334536,0.176652893,0.104681643,123,21.8214398,1615.888889,2.376995365,112.8888889,610.2335662,72.05458398,0.232031145,0.006068585,0.861300886,0,8,0.025033333,0.584170959
Tropical rain forest,121,0.295289855,0.170575693,0.124714162,120,21.60251566,1619.666667,2.602515638,212.6666667,590.5915458,69.91760423,0.232991144,0.005438541,0.858618692,0,8,0.026644444,0.546692558
Tropical rain forest,122,0.255725191,0.101382488,0.154342702,116,22.07101272,1645.555556,2.848790513,218.2222222,582.865303,68.33489518,0.243296256,0.004813884,0.857225533,0,8,0.0292,0.541020905
Tropical rain forest,123,0.255946717,0.092807425,0.163139293,116,22.20304863,1732,2.647493045,104.7777778,558.0422804,70.59071901,0.262072369,0.00435633,0.857468097,0,7,0.033777778,0.51734771
Tropical rain forest,124,0.247383444,0.099088838,0.148294606,114,22.0760868,1832,2.576086799,57.83333333,531.2772233,73.65117809,0.292690954,0.004244806,0.863112336,0,8,0.036055556,0.578323856
Tropical rain forest,125,0.213,0.068639053,0.144360947,111,20.88557641,1980.444444,2.774465322,92.55555556,522.316753,73.55358501,0.312234411,0.004099728,0.866951444,0,8,0.031722222,0.558262276
Tropical rain forest,126,0.17979555,0.063186813,0.116608737,109,22.01259263,2080.555556,2.901481496,178.4444444,531.0378701,73.83608397,0.308721153,0.00398597,0.863899321,0,8,0.028625,0.567024714
Tropical rain forest,127,0.207282913,0.121118012,0.086164901,111,22.32227076,2099,3.155604084,427.8333333,535.1860419,72.78904586,0.287365764,0.003993006,0.856051473,0,7,0.022114286,0.478508402
Tropical rain forest,128,0.206654991,0.116959064,0.089695927,109,22.4890451,2061.666667,3.377934006,659.3333333,535.6992698,72.08065633,0.272945436,0.004054068,0.857484358,0,8,0.0159,0.384171282
Tropical rain forest,129,0.140495868,0.071428571,0.069067296,105,22.56636011,2015,3.566360056,303,536.4928712,72.94987371,0.271719827,0.004166257,0.860361328,0,8,0.008625,0.289335168
Tropical rain forest,138,0.237004405,0.076759062,0.160245343,110,18.54645437,1480.375,5.17145437,71.375,375.1740461,86.63312935,0.236443431,0.008177,0.847356199,0,9,0.060166667,0.757326939
Tropical rain forest,139,0.33510168,0.109004739,0.226096941,124,19.53140973,1517.555556,4.642520799,43.11111111,372.3377045,87.35972939,0.225848215,0.008403426,0.842198108,0,11,0.0591,0.764126365
Tropical rain forest,140,0.294117647,0.147147147,0.1469705,135,19.83838893,1513.166667,4.505055587,68.66666667,371.5338479,86.33171999,0.229027468,0.008530858,0.845892124,0,11,0.0611,0.753799461
Tropical rain forest,141,0.261885576,0.19152692,0.070358656,137,18.62920487,1453.666667,4.740316073,47.22222222,375.9616288,85.66972501,0.242190763,0.008489895,0.854753444,0,10,0.053188889,0.744133335
Tropical rain forest,142,0.245916515,0.185294118,0.060622398,147,19.03580557,1383.666667,4.258027818,257,375.1331531,81.85607726,0.254898949,0.008185367,0.851529323,0,11,0.05975,0.739504356
