"variable_combination","adjR2","AIC"
"TA_mean+MAT_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.719","266.862"
"TA_mean+MAT_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.718","267.365"
"TA_mean+TSN_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.727","261.656"
"TA_sd+PA_sd+TCV_mean+NA+NA+NA+NA+NA+NA","0.707","273.291"
"TA_sd+PA_sd+PCV_sd+NA+NA+NA+NA+NA+NA","0.728","261.395"
"TA_sd+PA_sd+MAT_mean+NA+NA+NA+NA+NA+NA","0.768","235.679"
"TA_sd+PA_sd+MAT_sd+NA+NA+NA+NA+NA+NA","0.708","272.702"
"TA_sd+PA_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.721","265.693"
"TA_sd+PA_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.719","266.407"
"TA_sd+TCV_mean+PCV_sd+NA+NA+NA+NA+NA+NA","0.728","261.121"
"TA_sd+TCV_mean+MAT_mean+NA+NA+NA+NA+NA+NA","0.764","238.035"
"TA_sd+TCV_mean+MAT_sd+NA+NA+NA+NA+NA+NA","0.709","272.329"
"TA_sd+TCV_mean+TSN_mean+NA+NA+NA+NA+NA+NA","0.72","265.968"
"TA_sd+TCV_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.72","265.844"
"TA_sd+PCV_sd+MAT_mean+NA+NA+NA+NA+NA+NA","0.784","223.45"
"TA_sd+PCV_sd+MAT_sd+NA+NA+NA+NA+NA+NA","0.732","259.081"
"TA_sd+PCV_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.742","252.559"
"TA_sd+PCV_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.742","252.914"
"TA_sd+MAT_mean+MAT_sd+NA+NA+NA+NA+NA+NA","0.765","237.461"
"TA_sd+MAT_mean+TSN_mean+NA+NA+NA+NA+NA+NA","0.769","234.549"
"TA_sd+MAT_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.773","232.005"
"TA_sd+MAT_sd+TSN_mean+NA+NA+NA+NA+NA+NA","0.721","265.649"
"TA_sd+MAT_sd+PSN_mean+NA+NA+NA+NA+NA+NA","0.72","266.012"
"TA_sd+TSN_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.729","260.458"
"PA_sd+TCV_mean+PCV_sd+NA+NA+NA+NA+NA+NA","0.719","266.53"
"PA_sd+TCV_mean+MAT_mean+NA+NA+NA+NA+NA+NA","0.766","236.782"
"PA_sd+TCV_mean+MAT_sd+NA+NA+NA+NA+NA+NA","0.698","278.267"
"PA_sd+TCV_mean+TSN_mean+NA+NA+NA+NA+NA+NA","0.711","271.002"
"PA_sd+TCV_mean+PSN_mean+NA+NA+NA+NA+NA+NA","0.71","272.044"
"PA_sd+PCV_sd+MAT_mean+NA+NA+NA+NA+NA+NA","0.784","223.523"
